human_label,text,source,suspect_score,signals,llm_label,llm_reason,priority,why
,"วันนี้มีปาร์ตี้มื้อกลางวันกันคะ ลงมติไปทาน MK Restaurant กันดีกว่า
*** พิกัดร้าน ร้านอยู่ชั้น 2 @ Uninon Mall ติดกับร้านตัดผม
*** บรรยากาศร้าน 
สาขานี้กว้างขวางเหมือนกันนะคะ มีที่นั่งรองรับลูกค้าเยอะ และที่นั่งไม่แออัดคะ 
*** เมนู 
เหมือนเราทานสุกี้ หรือ ชาบูนั่นเอง
ชอบที่สุดของร้านนี้คือ เป็ดย่างนั่นเองคะ เราว่าทานทุกครั้งอร่อยทุกครั้ง หนังเป็ดกรอบ น้ำราดก็อร่อย เนื้อนุ่ม ทานกับหมี่หยก ใช่เลยคะ
ลูกชิ้นสาหร่าย ตับหมู กุ้ง หมึกยัดไส้ อร่อย
เราว่าโดยรวมๆ รสชาติดี อร่อย พนักงานบริการดีคะ
เฉลี่ยคนละ 250 บาท 
สั่งเป็นชุดก็คุ้มนะคะ",wongnai,5,"ชม:ดี,ที่สุด; ยืดอักษร; ชม+แย่:รอ",0,รีวิวจริงใจเชิงบวกหลายด้าน,2,LLM ว่าไม่ แต่ signal สูง — อาจ positive หลุด
,"ร้านเปิดมานานเกือบครึ่งปี พร้อมกับมีการเชิญชวน
ผ่านห้องอร่อยเหาะเจาะสองแคว 
แถววันนี้ฝนตกสะด้วย จึงเป็นโอกาสดี
ที่จะไปเยือน

พิกัดร้าน อยู่ที่ถนนเอกาทศรถ ทางไปสนามกีฬากลาง
อยู่ก่อนถึงแยกวัดโพ สัก 100 เมตร อยู่ซ้ายมือเลย
จอดรถข้างทาง 
ร้านเปิดโล่งดี ไม่ร้อนเพราะฝนตก
เปิดเพลงวงกะลาที่คุณก้อยชอบ

เป็นแบบบุฟเฟ่ 139 บาท ไม่รวมน้ำดื่ม
ไม่จำกัดเวลา 

ว่าด้วยน้ำซุป เป็นแบบเดิมๆ สมัยหมูจุ่มดังใหม่ๆ
ซุปกระดูกที่ใส่ ตะไคร้ ใบมะกรูด ข่า และ
หัวไชเท้า ทำให้น้ำซุป หอมหวานเลย

ว่าด้วยน้ำจิ้ม มี 3 แบบ
-แบบแจ่ว พริกป่น ใส่ข้าวคั่ว แต่ออกหวาน
เลยไม่ชอบแบบนี้
-แบบหมูจุ่ม น้ำจิ้มพริกสด รสเปรี้ยวเผ็ดหวาน
อันนี้แจ่มสุด
-แบบซีฟู๊ด เหมือนแบบข้างบน แต่ใส่ขิง

ว่าด้วยหมู ชุดเปิดนี่จัดเต็มมาทุกอย่าง 
หมูหมัก (อันนี้หอมน้ำมันงา)ไก่ ตับ
เซ้งจี้ แมงกระพรุน สไบนาง หมึก
กุ้ง สามชั้น ไข่ ผักสด ลูกชิ้น เต้าหู้
ผักสด ก็สะอาดดีครับ

อยากได้อะไร ก็บอกได้

แม้จะบุฟเฟ่ แต่หากสั่งเพิ่ม ก็ได้เป็นบางอย่าง
ที่สั่งเพิ่มก็มี ราคาตามป้ายเมนู

ส่วนเครื่องดื่ม น้ำ น้ำแข็ง 20 บาท
ไม่รู้สึกยัดเยียดว่าขายน้ำแข็ง

เรื่องของการบริการ ก็เต็มที่เลยครับ
ตั้งแต่เดินเข้าร้าน 
เดินถามว่าต้องการอะไรเพิ่ม
เติมถ่าน
เรียกได้ว่า เด่นด้านการบริการ
แถมรวดเร็วว่องไวดี

มีโอกาสก็ไปอุดหนุนนะครับ",wongnai,5,"ชม:ดี; ยืดอักษร; ชม+แย่:รอ,นาน",0,รีวิวยาวที่มีทั้งข้อดีข้อเสียตามจริง,2,LLM ว่าไม่ แต่ signal สูง — อาจ positive หลุด
,🔊🔊🔊 กลับมาพบกันอีกครั้งในวันเสาร์ที่ 31 มีนาคม กับงานดีๆ ช้างชวนคุณมาชิลส์ ที่ร้านทรีกองของเรา ลูกค้าท่านใดว่างหรืออยากฟังดนตรีสบายๆ ขอเชิญมาร่วมชิลส์ที่ร้านได้นะครับ .. พบกับโปรโมชั่น ช้าง 3ขวดเพียง 250 บาท เท่านั้น!! •แวะมากันเยอะๆนะครับ😉 #ทรีกองชวนชิลส์ #ช้างชวนชิลส์ @Watcharin Khlingkhalai,wisesight,5,ชม:ดี; ยืดอักษร; ชม+แย่:ช้า,0,โปรโมตงานดนตรีและโปรโมชั่น ไม่ใช่ประชด,2,LLM ว่าไม่ แต่ signal สูง — อาจ positive หลุด
,"ร้านหยุดทุกวันจันทร์ เปิดเวลา 12.00 - 21.00 น. แนะนำเมนูโอเลี้ยงยกล้อ. อร่อยมากๆ. อาหารอร่อยทุกอย่าง โดยเฉพาะลาบหมูคั่ว, แหนมหมกไข่, น้ำพริกหนุ่ม+แคปหมู, ไส้อั่ว ... มีที่จอดรถด้านหน้า สะดวก. บริการดี ขนมหวานก็อร่อย ^^",wongnai,5,ชม:ดี; ยืดอักษร; ชม+แย่:รอ,0,รีวิวชมจริงใจและรายละเอียดตรงไปตรงมา,2,LLM ว่าไม่ แต่ signal สูง — อาจ positive หลุด
,"แวะมาชิมกาแฟกับเจ้าถิ่น (Soya) สักหน่อย 
ร้านอยู่ในพื้นที่ Star Avenue สาขาอาเขต (ขนส่งเชียงใหม่) 
จอดรถได้มากมาย พื้นที่จอดเยอะ 

ร้านตกแต่งเรียบง่าย สไตล์แบบจีนๆ ของตกแต่งเยอะ 
นั่งในห้องแอร์เย็นสบาย, Wifi ของร้านรวดเร็วดี
พนักงานบริการดี สอบถามอะไรก็แนะนำ ยิ้มแย้มดี ^^ 

""Mocha Mint"" (105฿) โกโก้เข้มข้น แถมมิ้นต์จัดมาเต็ม ^^ 
รสชาติกาแฟอาจจะอ่อนไปหน่อย ราคาสูงไปนิด 
มารอบหน้า ขอลองชิมชาหน่อยละกัน 

ปล. ทางร้าน บูชาเจ้ากบด้วยน้ำชา... 
ชิมๆ @ 8/Aug/2016",wongnai,5,ชม:ดี; ยืดอักษร; ชม+แย่:รอ,0,รีวิวยาวข้อดีข้อเสียตามจริง,2,LLM ว่าไม่ แต่ signal สูง — อาจ positive หลุด
,"Yaki Tori restaurant, tosu
ร้านแนวizakayaร้านหนึ่งอยู่ไม่ไกลจากสนานีรถไฟTosu station - หากถามว่าเมืองนี้มีอะไร ขอบอกว่ามีTosu premium outlet ขายสินค้าหลายแบรนด์ดังทั่วโลก เป็นoutlet outdoorเหมือนอเมริกา แต่วันนี้เราโชคไม่ค่อยดี (หรืออาจดีก็ได้ ปกติปิด20.00 เราไปถึง17.20 แต่วันนี้31/12 -ที่outletปิด18.00 ????????เซ็งกันเป็นแถว ) เราเลยกลับมาสถานีรถไฟTosu เพื่อกลับที่พักเราในSaga -- บังเอิญเตะตากับร้านญี่ปุ่นร้านนี้ รีบเข้าเลยค่ะ แต่เมนูเป็นภาษาญี่ปุ่นทั้งหมด ไม่มีรูปนะค่ะ คราวนี้เลยอาศัยความสามารถพิเศษในการกิน งัดทั้งภาษาญี่ปุ่นงูๆๆปลาๆและภาษากาย สั่งอาหารได้ถูกใจพวกเรานัก อิ่มอร่อยจริงๆ 
•ร้านนี้จะขายเบียร์/สาเก 
•ปิ้ง/ย่าง
ส่วนอาหาร เน้นขายปิ้ง/ย่าง เราทานกันเยอะมาก ที่อร่อยแนะนำมีทั้ง ปีกไก่, ตับไก่, หมู (ติดมันนิดๆ) , ปลาไข่ย่าง (shisemo) - ต้องบอกเลยว่าฝีมือการปิ้งล้วนๆ ย่างมาสุกกำลังดี และไม่มีไหม้เลยค่ะ 
•Sashimi - ร้านนี้เฉยๆๆนะค่ะ
•นาเบะ- เมืองSagaดังเรื่องไก่ ใจก็ว่าเมืองติดกันน่าจะอาหารคล้ายกัน เลยสั่ง ไก่นาเบะ(หม้อไฟไก่ ใส่เต้าหู้) ทานคู่น้ำจิ้มพอนซึค่ะ 
•ยากิโซบะ - อร่อยแนะนำมากๆๆค่ะ เสริฟ์มาบนกระทะร้อน ผัดมาแห้งนิดๆ ไม่ใส่เนื้อสัตว์นะค่ะ แต่อร่อยค่ะ 

ส่วนบรรยากาศ ดีค่ะ ได้ฟิลญี่ปุ่นดีค่ะ เสียอย่างเดียว เหม็นกลิ่นบุหรี่และกลิ่นปิ้งเล็กน้อย",wongnai,5,"ชม:ดี; ยืดอักษร; ชม+แย่:นาน,เสีย",0,รีวิวยาวที่มีข้อดีข้อเสียตามจริง,2,LLM ว่าไม่ แต่ signal สูง — อาจ positive หลุด
,"ในวันฝนตกหนักการฝากท้องไว้ในห้างน่าจะเป็นอะไรที่ปลอดภัยมากที่สุด .... เซ็นทรัลอีสวิลล์เลยเป็นความหวังยามเย็นของเรา เดินวนๆอยู่หลายร้านแต่ก็คนเยอะไปหมด เลยเดินเข้าไปฝั่งซุปเปอร์มาร์เก็ต และด้านหน้าจะมีฟูดคอร์ทอยู่ค่ะ อย่าลืมแลกบัตรกันนะคะ (ตอนนี้แลก150 บาทแบบไม่แลกคืน ได้รับเครื่องดื่มจำยี่ห้อไม่ได้แล้วอ่ะ ฟรี 1 ขวดนะคะ) 

จำนวนร้านในพื้นที่อาจจะไม่เยอะมากเท่าไหร่ แต่ก็ถือว่ามีหลากหลายให้เลือกทาน .... ผัดไทอารีย์เป็นอีกร้านในพื้นที่ หาไม่ยากเพราะอยู่ร้านแรกติดร้านไอติมค่ะ พนักงาน 2 คนพูดจาดีทั้งคู่ ยิ้มแย้ม พร้อมรับออเดอร์ลูกค้าตลอด 

ผัดไทย หอยทอด ขนมผักกาด เป็นตัวเลือกของร้าน .... คำตอบที่ถูกต้องสำหรับเรา คือ ขนมผักกาด เพราะเป็นเมนูไม่ค่อยได้เจอค่ะ แป้งผสมหัวไช้เท้าขูดแล้วนำไปนึ่ง ก่อนจะนำมาตัดเป็นชิ้นเล็กแล้วไปผัดรวมกับถั่วงอกและผักกุยช่ายใส่ซีอิ๊วดำ รสชาติถือว่ากลางๆพอหายอยากได้ค่ะ ไช้เท้าในเนื้อแป้งไม่ค่อยเยอะ แต่ผัดดีติดเกรียมนิดๆ ไม่งกซีอิ๊วดำ และผัดถั่วงอกนิ่มดีค่ะ 

อาหารฟู้ดคอร์ทก็จรืงแต่ราคาก็ปรับไปตามพื้นที่ห้างด้วยค่ะ เพราะอาหารเค้าปกติก็ 70 บาทแล้ว ซื้อใส่กล่องกลับบ้านเพิ่มอีก 8 บาทนะคะ (อันนี้เพิ่มทุกร้าน) ..... ถือว่าราคาไม่ได้เบากระเป๋าสักเท่าไหร่ แต่ก็ทานง่ายๆได้เร็วๆไม่ต้องไปต่อคิวร้านใหญ่ให้เสียเวลาค่ะ",wongnai,5,"ชม:ดี,ที่สุด; ยืดอักษร; ชม+แย่:เสีย,หาย,ไม่ได้",0,รีวิวยาวมีข้อดีข้อเสียตรงไปตรงมา,2,LLM ว่าไม่ แต่ signal สูง — อาจ positive หลุด
,"...รอบนี้มาทานอาหารคาวในร้านอาหารหวานกันบ้าง นั่นคือผัดขี้เมา
    เส้นนุ่มดี รสชาติดี แต่มันไปนิด แต่รวมๆบอกเลยก็โอเคนะ
    ไข่เจียวเป็นแบบกรอบๆ ไม่ค่อยชอบอ่า ชอบแบบนิ่มๆนะ ส่วนเค้กสตรอเบอร์รี่แปลกๆนิด แต่พอทานได้ค่ะ",wongnai,5,ชม:ดี; ยืดอักษร; ชม+แย่:รอ,0,มีทั้งข้อดีข้อเสีย ข้อเท็จจริง ไม่มีประชด,2,LLM ว่าไม่ แต่ signal สูง — อาจ positive หลุด
,"17/1/17

เป็นร้านเล็กๆใกล้ทางเชื่อมเข้าศูนย์การค้าสีลมคอมเพล็กค่ะ 

หน้าร้านมีป้ายโปรโมชั่นซื้อเบเกอรี่ที่ร่วมรายการ 2 ชิ้น ราคา 44 บาท จัดไป

???? ชูครีม 24
⭐⭐
ครีมหวานโดด ครีมไม่โดนก็จบแล้ว

???? ครอกมูสไส้แฮมไข่ 26
⭐⭐⭐
เลือกอะไรที่มีแฮมมักจะรอด ???? เข้าเวฟทานร้อนๆถึงจะดีค่ะ

สรุป 2.5⭐",wongnai,5,ชม:ดี; ยืดอักษร; ชม+แย่:รอ,0,ตำหนิตรงๆตามจริงมีทั้งดีและไม่ดี,2,LLM ว่าไม่ แต่ signal สูง — อาจ positive หลุด
,"กินส้มตำเด็ดๆกับร้าน ส้มตำคุณนาย ที่สันกำแพงงงงเจ้าา

รสชาติอาหารอร่อยดีค่ะ ส้มตำไม่เผ็ดมากจนเกินไป ถูกปากกก 

แต่ติดเรื่องนึงคือการบริการค้ะ
อยากให้ปรับปรุงให้ดีขึ้นอีกนิดนึงง

รวมๆๆแล้วก็โอเคมากค้ะ ^^",wongnai,5,"ชม:ดี; ยืดอักษร; ชม+แย่:รอ,งง",0,ชมอาหาร บริการมีติงแต่ไม่ได้ประชด,2,LLM ว่าไม่ แต่ signal สูง — อาจ positive หลุด
,"วันนี้ลองมาสาขานี้บ้าง เห็นแต่สาขานิมมาน
ทานไอติม2ลูก มะม่วง กับเสาวรส ลูกละ35บาท กับมะม่วงปั่น 59บาท 
อยู่ติดถนนราชดำเนินเลย มีที่จอดรถด้านหลังด้วยนะ ต้องสแตมป์บัตรไม่งั้นเสียค่าจอด
รสชาติโอเคนะ แต่ไอติมมะม่วงไม่ค่อยเหมือนมะม่วงเท่าไหร่ เสาวรสเปรี้ยวดี ส่วนน้ำปั่นก็โอเคนะ ไม่หวาน แต่เหมือนน้ำๆมากไปหน่อย ไม่ค่อยได้รสมะม่วงอะะะ
แต่ร้านน่ารักมากนะ ข้างในแอบเล็ก แต่มีที่นั่งข้างนอกด้วย",wongnai,5,ชม:ดี; ยืดอักษร; ชม+แย่:เสีย,0,รีวิวยาวทั้งข้อดีข้อเสียตามจริง,2,LLM ว่าไม่ แต่ signal สูง — อาจ positive หลุด
,ทองหล่อ ในพท. ค่าครองชีพแสนแพง ยังมีศูนย์อาหารใต้ตึก ซ้อนอยู่!!! ตลาดใต้ตึกลิเบอตี้ ถูกดีอร่อย เป็นคำจำกัดความง่ายๆของที่นี่ ไม่ว่าอาหารหลักหลากหลาย ขนม ของใช้ เสื้อผ้า มีพ่อค้าแม่ค้ามาวนเวียนไม่ขาดสาย สำหรับตลาดท้ายทองหล่อตัดเพชรบุรี ที่นี่ยังไม่คนเข้ามาแวะเวียนเสมอๆตลอดๆ,wongnai,5,ชม:ดี; ยืดอักษร; ชม+แย่:รอ,0,ไม่มีเจตนาประชดในข้อความ,2,LLM ว่าไม่ แต่ signal สูง — อาจ positive หลุด
,"ก๋วยเตี๋ยวไก่ขัน เป็นหนึ่งในร้านที่ขายและมีชื่อเสียงมานาน ที่ สารพัดไก่ที่นำมาปรุง ซุปซีอิ๊วอันโดดเด่น ปริมาณเยอะทั้งเส้นทั้งเครื่อง เรียกได้ว่า ถูกใจทั้งผู้บริหาร ~ เพราะรสชาติดี และ ถูกใจคนงาน ~ เพราะชามเดียวเอาอยู่!!

   โดดเด่นที่น้ำซุป เพราะทางร้านผสมยาจีนและสมุนไพรไทยอย่าง ขิง รากผักชี ปรุงซีอิ๊วดำ จนได้น้ำซุปรสชาติเข้มข้น สีดำเข้ม และยังมีหัวไช้เท้าและมะระ ที่นำไปตุ๋นรวมจนเปื่อยนิ่ม รสหวานอร่อย ตามรสชาติน้ำซุป เลือกใส่ ไก่ฉีก ไก่ตุ๋น แบบ ปีก น่องไก่ ข้อไก่ เครื่องในไก่ ซึ่งวารพัดไก่เหล่านี้ เนื้อนุ่มมาก โดยเฉพาะ ข้อไก่ นิ่ม ร่วน ถูกใจมากมาย

     [ ร้านอยู่ตรงไหน???!!!~ ]

     ร้ายอยู่ในซอย เจริญเมือง 5 ใกล้สถานีรถไฟ ทางจะไปตลาดสันป่าข่อย หากหันหน้ามุ่งไปตลาดสันป่าข่อย จะผ่าน ธนาคารกสิกร แล้วเห็นซอยด้าน ซ้ายมือ ขับตรงเข้าไปอีก เกือบ กิโลค่ะ ร้านอยู่ทางขวามือค่ะ เป็นเพิงไม้ ที่จอดรถเยอะ และอยู่ในบริเวณเดียวกับร้านเลย ร้านเปิด 8.00-18.00 และปิด เดือนละ 2 ครั้ง คือวันที่ 1 และ 16 (สงสัยว่าทำไมตรงกับวันหวยออก ซึ่งทางร้านก็แจ้งวืสไม่เกี่ยวแต่อย่างใด หยุดตรงเฉยๆ ค่ะ

     [ ร้านขายอะไรบ้าง???!!!~ ]

     ร้านขายก๋วยเตี๋ยวไก่ตามชื่อค่ะ เลือกชนิดเส้น แล้วเลือก ชนิดไก่ ว่าจะเป็นไก่ฉีก ไก่ตุ๋น แบบ ปีก น่องไก่ ข้อไก่ เครื่องในไก่ หรือสั่งเป็นเกาเหลามาซดเพิ่มก็ได้ ราคาอยู่ที่ 35-40 บาท

     [ ลองอะไรบ้าง???!!!~ ]

     สั่ง เล็กน้ำไม่เครื่องใน ขนาดปกติ คือ 35 บาท ซึ่งจะได้ไก่ฉีก ข้อไก่ และเลือด ในปริมาณเยอะ เช่นเดียวกับเส้น ที่เยอะมากๆ ส่วนผัก ที่นี่ใส่ ผักกวางตุ้งมา แทนที่จะเป็นคะน้า หรือ ผักบุ้ง แถมด้วยมะระและไชเท้า ที่ตุ๋นจนเปื่อยยุ่ย รวมๆ ทานอิ่มจนจุกค่ะ แนะนำให้คำนึงถึงความหิวก่อนสั่งนะคะ เผลอสั่งพิเศษ นี่ต้องมั่นใจว่าหิวจริงๆ ค่ะ???????????? 

     [ สรุปคะแนน???!!!~ ]

   โดยรวมมอบ 3/5 ดาว 

???????????? : การเดินทาง/การจอดรถ

   3/5 ร้านอยู่ในเมือง ไปมาสะดวก เพียงแต่เข้าซอยลึก และทางแคบ ไปถึงแล้วมีที่จอดรถเป็นของตัวเอง สะดวกดี
 
???????????? : ความสวยงาม/บรรยากาศ

  3/5 ร้านแนวเพิง มีต้นไม้รายรอบ บรรยากาศบ้านๆ มืดๆ 

???????????? : การบริการ

   3/5 เจ้าของดูแลเอง ยิ้มแย้มทักทายดีออกแนวบ้านๆ ดีค่ะ ส่วนอาหารออกไวพอประมาณค่ะ

???????????????? : รสชาติ/คุณภาพ/ความคุ้มค่า

   3/5 อาหารโดยรวมรสชาติใช้ได้ค่ะ เป็นซุปซีอิ๊วดำที่อร่อยไปอีกแบบ แต่แอบเค็มไปนิดนะคะ ปริมาณให้มาเป็นสัดส่วนกับราคา คือ 35-40บาท",wongnai,5,"ชม:ดี,คุณภาพ; ยืดอักษร; ชม+แย่:รอ,นาน,เสีย",0,รีวิวยาว มีข้อดีข้อเสียตามจริง,2,LLM ว่าไม่ แต่ signal สูง — อาจ positive หลุด
,มีคนซื้อใส่ถุงมาฝาก ก็รีบแกะเลย เดี๊ยวเตี๊ยวเย็นจะไม่อร่อย แกะถุงมา คือ? เส้นน้อยไปป่ะ แกะน้ำเทใส่ชาม ชิมเลย....รสชาติ หวานม๊ากกกก....นี่คือเตี๊ยวต้มยำเหรอ ไม่ผ่านอ่ะ เคยชิมผัดไทยห่อไข่ เมนูนี้อร่อยนะ ใช้ได้,wongnai,5,ชม:ดี; ยืดอักษร; ชม+แย่:รอ,0,ตำหนิตรงๆ และมีชมจริงใจ,2,LLM ว่าไม่ แต่ signal สูง — อาจ positive หลุด
,"วันนี้ผมและทีมงานวงในชลบุรีมาจัดเต็มกับร้านอาหารสุดแซ่บ ที่มีชื่อร้านสุดแนว ว่า “ปิ่นโต มหาเฮง” ย่าน นาเกลือ แหม่...แค่ได้ยินชื่อก็น่าสนใจแล้วครับ ร้านปิ่นโต มหาเฮง นี้เกิดจากธุรกิจครอบครัวเล็กๆ ของพี่เจ้าของร้าน ที่มีความชื่นชอบการทำอาหาร คำว่า ปิ่นโต เปรียบเสมือนการหิ้วกับข้าวไปทานกับครอบครัว หรือนำไปถวายวัด ซึ่งเป็นวิถีชีวิตที่อบอุ่นของคนไทย จึงเป็นที่มาของคอนเซปต์หลักของร้าน

ร้าน ปิ่นโต มหาเฮง ตั้งอยู่ที่ซอยสุขุมวิท พัทยา 31 หากวิ่งมาจากถนนสุขุมวิท เมื่อเลยซอยประปาไปนิดเดียวให้สังเกตซอย 31 ด้านซ้ายมือ ตรงเข้ามาเรื่อยๆ ร้านจะอยู่ทางขวา สามารถจอดรถที่ร้านได้เลยครับ

เมนูอาหารของที่ร้านหลักๆ แล้วจะเน้นเป็นอาหารไทยประยุกต์ที่หลากหลาย ครับ และค่อนข้างจะมีครบครันทีเดียว มีทั้งอาหารตามสั่ง ส้มตำ ยำ เครื่องดื่มชากาแฟ ข้าวมันไก่ เรียกได้ว่าครบจบในที่เดียวเลยครับ

เริ่มกันที่ส้มตำปูม้า รสชาติแซ่บอีหลีไม่เสียชื่อส้มตำ ปูม้าที่ให้มาก็สด เนื้อหวานเชียว

ต่อกันที่ ตำมั่ว ที่เรียกได้ว่ามิกซ์กันแบบจัดเต็มจริงๆ แน่นอนว่ารสชาติจัดจ้านไม่แพ้ใครอีกเช่นกัน ส้มตำที่ร้านจะไม่ได้ออกรสชาติเค็มเหมือนสไตล์อีสานแท้ แต่จะมีการประยุกต์รสชาติแบบคนชลบุรีลงไปด้วย คือมีความหวานเบาๆ ทานคู่กับข้าวเหนียวหน่อยนะ ใช่เลย 

ยำถาด ยกทัพกันมาแบบเต็มที่เลยทีเดียว ในถาดประกอบไปด้วย ยำถั่วพู ยำวุ้นเส้นทะเล ยำเล็บมือนาง เรียกได้ว่าเหมาะจริงๆ สำหรับคนที่อยากกินหลายๆ อย่าง แต่อยากสั่งแยกหลายจาน 

เป็นอย่างไรบ้างครับกับ ร้าน ปิ่นโต มหาเฮง ในวันนี้ หิวขึ้นมาทันทีเลยสิท่า สำหรับใครที่กำลังมองหาร้านอาหารไทย ตามสั่ง ส้มตำ ยำรสเด็ด ในบรรยากาศง่ายๆ สบายๆ ราคามิตรภาพ มีที่จอดรถกว้างขวาง ร้าน ปิ่นโต มหาเฮง เป็นหนึ่งในตัวเลือกที่น่าสนใจทีเดียวครับ

ร้าน ปิ่นโต มหาเฮง ตั้งอยู่ที่ซอยสุขุมวิท พัทยา 31 หากวิ่งมาจากถนนสุขุมวิท เมื่อเลยซอยประปาไปนิดเดียวให้สังเกตซอย 31 ด้านซ้ายมือ ตรงเข้ามาเรื่อยๆ ร้านจะอยู่ทางขวา สามารถจอดรถที่ร้านได้เลยครับ",wongnai,5,"ชม:ดี; ยืดอักษร; ชม+แย่:รอ,เสีย,ไม่ได้",0,ชมจริงใจ ไม่มีการเหน็บแนม,2,LLM ว่าไม่ แต่ signal สูง — อาจ positive หลุด
,"ถ้าพูดถึงเรื่องขนมไทย ต้องนึกถึงกะทิ ขนมไทยที่ใส่กะทิมีเยอะแยะ แต่ที่อร่อยๆส่วนใหญ่มะค่อยมี ไม่น่าเชื่อว่าจะมาเจออยู่ที่ตลาดเสรีมาร์เก็ต เดอะไนน์ หน้าร้านดูสะอาดสะอ้าน มีโถตักขนมอยู่ประมาณนึง และมีแบบที่ตักใส่แก้วไว้ take away ด้วย หน้าร้านมีวีดิโอ วนลูปการทำขนม ชมเพลินๆ 

วันนี้มีขนมให้เลือก 3 อย่าง รวมมิตร ปลากริม บัวลอย แต่ละอันดูน่าทานมากๆ

ขอเลือกเป็นรวมมิตร ดูเครื่องเยอะดี มีทั้งข้าวโพด วุ้น ทับทิมกรอบ ขนุน ที่สำคัญคือมีมะพร้าวอ่อนสไลด์บางๆ อันนี้อร่อยมาก น้ำกะทิ เข้มข้น หอมขนุน ทานแบบเย็นๆ เพราะเค้าโปะน้ำแข็งมาให้ อร่อยครบเครื่อง

มาพูดถึงเรื่องราคา ตอนแรกนึกว่าฟังคนขายผิด คนขายเป็นชาวต่างชาติ บอกเราว่า อี่สิบะ เราก็นึกว่า 20 บาท เค้าเน้นว่า มะช่ะค่ะ สี่สิบาท โอ้ววว เกิดมาเพิ่งเคยทานขนมตักๆ ชามละ 40 บาท ราคาเกือบเท่าข้าว ทำเอาตัวเซเล็กน้อย แต่ต้องยอมรับว่าเค้าใช้ของคุณภาพดี ปริมาณเหมาะสม สมกับเป็นอีกหนึ่งร้านขนมไทยที่ต้องกลับมาทานอีก

สรุป ขนมอร่อย ปริมาณเยอะ ใช้แต่ของคุณภาพ ราคาแรง",wongnai,5,"ชม:ดี,คุณภาพ; ยืดอักษร; ชม+แย่:รอ,ผิด",0,รีวิวยาวมีทั้งข้อดีข้อเสียตามจริง,2,LLM ว่าไม่ แต่ signal สูง — อาจ positive หลุด
,ร้านข้าวขาหมู ร้านดังของอำเภอนางรอง จ.บุรีรัมย์ ร้านนี้มีชื่อว่า “จิ้งนำขาหมู” ถือเป็นร้านเก่าร้านแก่ร้านนึงเลยทีเดียวค่ะ เพราะฟังจากชื่อเสียงมา ร้านนี้เปิดมาไม่ต่ำกว่า 70 ได้ละนะ เพราะฉะนั้นไม่ต้องพูดถึงเรื่องความอร่อยเลยค่ะ ไม่แพ้ใครแน่นอนค่ะ สำหรับที่ตั้งร้าน หากขับรถเข้าสู่นางรอง ให้สังเกตโรงพยาบาลนางรอง ให้ขับรถเลยไปนิดหน่อยจะเห็นร้านอยู่ทางด้านซ้ายมือเลยค่ะ สำหรับเมนูขึ้นชื่อของร้านนี้เห็นทีคงจะไม่พ้นขาหมูค่ะ ซึ่งเค้ามีเป็นแบบสั่งขาหมูเปล่าๆ ขาละ 320.-  หรือจะคากิ 120-180 บาท หากใครกลัวจะเยอะไป ก็ทานแบบราดข้าวจานเดียวจบค่ะ อย่างเราวันนี้ก็สั่งเป็น “ข้าวขาหมูเนื้อหนัง” เสริฟมาจานใหญ่ถูกใจ หน้าตาน่าทานมากกกกกกกก พูดเลย!!!คือแบบทั้งเนื้อทั้งหนังทั้งผัก ให้แบบไม่หวงของกันเลยค่ะ สำหรับรสชาติเนื้อหมูเค้าเปื่อย นุ่มกำลังทาน ส่วนน้ำราดก็อร่อยใช้ได้ ทานกับผักดอง ฟินใช้ได้เลยแล่ะจ้า ให้ไปแบบ 3.5 ดาวเลยเบาๆ ^^,wongnai,5,"ชม:ดี,ฟิน; ยืดอักษร; ชม+แย่:รอ,เสีย",0,รีวิวยาวมีทั้งข้อดีข้อเสียตามจริง,2,LLM ว่าไม่ แต่ signal สูง — อาจ positive หลุด
